email0,email1,number_of_ads,number_of_repetitions,repeat_every_minutes,group_id,comment,signal,extract,repeat_unpersonalized
Alex-Mueller000136@seemoo.de,Zhang-Wei000005@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000145@seemoo.de,Mehmet-Yilmaz000005@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000137@seemoo.de,Zhang-Wei000006@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000146@seemoo.de,Mehmet-Yilmaz000006@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000138@seemoo.de,Zhang-Wei000007@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000147@seemoo.de,Mehmet-Yilmaz000007@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000139@seemoo.de,Zhang-Wei000008@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000148@seemoo.de,Mehmet-Yilmaz000008@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000141@seemoo.de,Zhang-Wei000009@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
Alex-Mueller000149@seemoo.de,Mehmet-Yilmaz000009@seemoo.de,120,2,60,60E220A9-44EA-4E9A-8770-639498515F42,"name account parameter",y,n,n
